stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
5033,,Kobetabidea 193 / Alto Kastrexana,,43.26803,-2.96816,,,0,
5034,,Zorrotza - Kastrexana / Sta. Águeda,,43.2614,-2.97146,,,0,
5035,,Abusu / Ibaieder,,43.24148,-2.92155,,,0,
5036,,Julián Gaiarre 33 / Artalandio,,43.255,-2.9012,,,0,
5038,,L. Aguirre 179,,43.28157,-2.96295,,,0,
5039,,Iturribide 53,,43.25701,-2.91717,,,0,
5040,,Ribera De Deustu 3,,43.26595,-2.95361,,,0,
5041,,Errekalde - Larraskitu 2,,43.25143,-2.94342,,,0,
5042,,Unibertsitate 24,,43.27025,-2.93719,,,0,
5043,,Garaizar 16,,43.26041,-2.90336,,,0,
5044,,Miramarbidea 47,,43.27685,-2.95319,,,0,
5045,,Zorrotza - Kastrexana / Etxebarria,,43.26454,-2.97361,,,0,
5046,,Xalbador / Alhóndiga,,43.2489099391,-2.9448851198,,,0,
5047,,Vía Vieja De Lezama 75 / Montaño,,43.27138,-2.92116,,,0,
5049,,Madariaga / Basabe,,43.27071,-2.9569,,,0,
5050,,Ribera De Deustu 20,,43.26563,-2.95721,,,0,
5051,,Buia Bekoa,,43.22711,-2.91692,,,0,
5052,,Autonomía 1,,43.25722,-2.93513,,,0,
5053,,Zorrotza - Kastrexana / Sta. Águeda,,43.26129,-2.97144,,,0,
5054,,Miramarbidea / Aranekobidea,,43.27666,-2.95391,,,0,
5055,,Vía Vieja De Lezama 85,,43.27229,-2.92514,,,0,
5056,,Txotena 8,,43.25739,-2.89649,,,0,
5057,,Matiko 31,,43.26684,-2.9225,,,0,
5058,,Jesusen Bihotza 1,,43.26502,-2.94479,,,0,
5059,,L. Aguirre 161,,43.27927,-2.96167,,,0,
5060,,Zorrotza - Kastrexana 25,,43.27513,-2.97263,,,0,
5061,,Zorrotzaurre 17,,43.2746,-2.96694,,,0,
5062,,Gernika 23,,43.24956,-2.92709,,,0,
5063,,Gregorio La Revilla 36,,43.25844,-2.94145,,,0,
5064,,Iturriaga / Basarrate,,43.25037,-2.91068,,,0,
5065,,Zamacola 26,,43.24941,-2.9218,,,0,
5066,,Errekalde - Larraskitu 1,,43.25185,-2.9441,,,0,
5067,,Masustegi Estrata / Eskola,,43.25366,-2.95675,,,0,
5068,,Alda Recalde 11,,43.26675,-2.93334,,,0,
5069,,Gordoniz 39,,43.25666,-2.94228,,,0,
5070,,Txomin Garat 40 / Residencia,,43.25646,-2.90466,,,0,
5071,,Larraskitubidea 98,,43.24233,-2.94005,,,0,
5072,,Zamacola 150 / Eliza,,43.24124,-2.92356,,,0,
5073,,Gordoniz 36,,43.25428,-2.94482,,,0,
5074,,Matiko 1,,43.26814,-2.92459,,,0,
5075,,Vía Vieja De Lezama / Iturriondo,,43.26479,-2.91349,,,0,
5076,,Ernesto Erkoreka 8,,43.26416,-2.92261,,,0,
